time/ade,time,complete,plan,hemi,norm plan,norm hemi
177,0,20.71039124,19.55055287,18.35,0.943997274,0.886028651
177.0208333,0.5,20.54080563,19.44135213,17.85,0.946474665,0.869001943
177.0416667,1,20.10698824,18.96715697,17.35,0.943311686,0.862884077
177.0625,1.5,19.70287605,18.50308225,16.85,0.939105652,0.855205096
177.0833333,2,19.28062216,18.09188164,16.85,0.938345324,0.873934454
177.1041667,2.5,19.03560196,17.80016463,16.35,0.935098594,0.858916888
177.125,3,18.67526757,17.43134355,16.35,0.933391904,0.875489464
177.1458333,3.5,18.39432455,17.16618618,15.85,0.933232756,0.861678827
177.1666667,4,18.20890168,16.98560775,15.35,0.932818906,0.842994282
177.1875,4.5,17.85863807,16.62987072,15.35,0.93119479,0.85952803
177.2083333,5,17.70004733,16.58572307,15.35,0.937043996,0.867229319
177.2291667,5.5,17.73983449,16.86275671,15.35,0.950558853,0.865284285
177.25,6,18.17380217,17.61833643,16.35,0.969435909,0.899646637
177.2708333,6.5,19.30099006,19.37085863,18.35,1.003619948,0.950728431
177.2916667,7,20.74807478,21.60490267,19.85,1.041296742,0.956715272
177.3125,7.5,22.24244752,23.87380055,22.35,1.073344133,1.004835461
177.3333333,8,23.80043951,25.7469344,24.85,1.081783989,1.044098366
177.3541667,8.5,25.89402162,28.69913001,26.85,1.108330349,1.036918884
177.375,9,27.71525044,30.78660158,28.35,1.110818091,1.022902537
177.3958333,9.5,28.73290967,31.90932656,30.35,1.110549782,1.056280076
177.4166667,10,30.40250659,34.15716312,32.35,1.123498255,1.064057001
177.4375,10.5,32.02352977,36.11566886,34.35,1.127785385,1.072648776
177.4583333,11,33.86497758,38.21373014,35.85,1.128414453,1.05861579
177.4791667,11.5,35.51106297,40.61492463,37.85,1.143725961,1.065865025
177.5,12,37.05704421,42.31315677,39.35,1.141838419,1.061876381
177.5208333,12.5,37.82845487,43.24798044,40.35,1.143265846,1.066657365
177.5416667,13,38.84276804,44.44940324,40.85,1.144341804,1.051675822
177.5625,13.5,39.66093549,45.59489279,42.35,1.149617179,1.067801338
177.5833333,14,40.77864562,47.11595828,42.35,1.15540763,1.038533756
177.6041667,14.5,41.15759244,47.84717078,42.85,1.162535706,1.041120179
177.625,15,40.35835261,46.66555836,42.35,1.156280059,1.049349075
177.6458333,15.5,39.65012383,45.63906042,41.85,1.151044587,1.055482202
177.6666667,16,38.49310096,44.23386765,40.85,1.149137548,1.061229129
177.6875,16.5,37.88213198,43.14766558,39.85,1.138997816,1.05194713
177.7083333,17,36.28176598,40.81749514,38.35,1.125014013,1.057004778
177.7291667,17.5,34.71636534,37.99740724,36.35,1.094509948,1.047056616
177.75,18,31.02553423,31.96924541,34.85,1.030417242,1.123268329
177.7708333,18.5,30.573375,30.90443153,33.35,1.010828262,1.0908184
177.7916667,19,29.64097619,29.49112826,31.85,0.994944568,1.074526014
177.8125,19.5,28.6447411,28.381611,29.35,0.990814017,1.024620886
177.8333333,20,27.3221179,27.07324881,27.35,0.990891296,1.001020496
177.8541667,20.5,26.03607909,25.73025608,25.35,0.988253876,0.973648909
177.875,21,25.30401648,24.71333595,23.85,0.97665665,0.942538115
177.8958333,21.5,24.73267061,23.92227308,22.85,0.967233723,0.923879203
177.9166667,22,24.06100347,23.11934351,21.85,0.960863645,0.908108426
177.9375,22.5,23.32672748,22.31245508,20.85,0.956518873,0.893824478
177.9583333,23,22.75058944,21.65241202,20.35,0.951729716,0.894482319
177.9791667,23.5,0,0,19.85,#DIV/0!,#DIV/0!
178,0,0,0,19.35,#DIV/0!,#DIV/0!
178.0208333,0.5,0,0,18.85,#DIV/0!,#DIV/0!
178.0416667,1,0,0,18.35,#DIV/0!,#DIV/0!
178.0625,1.5,0,0,18.35,#DIV/0!,#DIV/0!
178.0833333,2,0,0,17.85,#DIV/0!,#DIV/0!
178.1041667,2.5,0,0,17.35,#DIV/0!,#DIV/0!
178.125,3,0,0,17.35,#DIV/0!,#DIV/0!
178.1458333,3.5,0,0,16.85,#DIV/0!,#DIV/0!
178.1666667,4,0,0,16.85,#DIV/0!,#DIV/0!
178.1875,4.5,0,0,16.35,#DIV/0!,#DIV/0!
178.2083333,5,0,0,16.35,#DIV/0!,#DIV/0!
178.2291667,5.5,0,0,16.85,#DIV/0!,#DIV/0!
178.25,6,0,0,17.35,#DIV/0!,#DIV/0!
178.2708333,6.5,0,0,18.85,#DIV/0!,#DIV/0!
178.2916667,7,0,0,20.85,#DIV/0!,#DIV/0!
178.3125,7.5,0,0,22.85,#DIV/0!,#DIV/0!
178.3333333,8,0,0,25.85,#DIV/0!,#DIV/0!
178.3541667,8.5,0,0,28.35,#DIV/0!,#DIV/0!
178.375,9,0,0,29.35,#DIV/0!,#DIV/0!
178.3958333,9.5,0,0,32.35,#DIV/0!,#DIV/0!
178.4166667,10,0,0,34.85,#DIV/0!,#DIV/0!
178.4375,10.5,0,0,35.85,#DIV/0!,#DIV/0!
178.4583333,11,0,0,37.35,#DIV/0!,#DIV/0!
178.4791667,11.5,0,0,38.85,#DIV/0!,#DIV/0!
178.5,12,0,0,36.85,#DIV/0!,#DIV/0!
178.5208333,12.5,0,0,36.35,#DIV/0!,#DIV/0!
178.5416667,13,0,0,34.85,#DIV/0!,#DIV/0!
178.5625,13.5,0,0,32.85,#DIV/0!,#DIV/0!
178.5833333,14,0,0,35.85,#DIV/0!,#DIV/0!
178.6041667,14.5,0,0,30.85,#DIV/0!,#DIV/0!
178.625,15,0,0,31.35,#DIV/0!,#DIV/0!
178.6458333,15.5,0,0,30.85,#DIV/0!,#DIV/0!
178.6666667,16,0,0,29.85,#DIV/0!,#DIV/0!
178.6875,16.5,0,0,28.35,#DIV/0!,#DIV/0!
178.7083333,17,0,0,27.85,#DIV/0!,#DIV/0!
178.7291667,17.5,0,0,25.85,#DIV/0!,#DIV/0!
178.75,18,0,0,25.35,#DIV/0!,#DIV/0!
178.7708333,18.5,0,0,26.35,#DIV/0!,#DIV/0!
178.7916667,19,0,0,25.35,#DIV/0!,#DIV/0!
178.8125,19.5,0,0,23.85,#DIV/0!,#DIV/0!
178.8333333,20,0,0,21.85,#DIV/0!,#DIV/0!
178.8541667,20.5,0,0,21.35,#DIV/0!,#DIV/0!
178.875,21,0,0,20.35,#DIV/0!,#DIV/0!
178.8958333,21.5,0,0,20.35,#DIV/0!,#DIV/0!
178.9166667,22,0,0,19.85,#DIV/0!,#DIV/0!
178.9375,22.5,0,0,19.35,#DIV/0!,#DIV/0!
178.9583333,23,0,0,18.85,#DIV/0!,#DIV/0!
178.9791667,23.5,0,0,19.35,#DIV/0!,#DIV/0!
179,0,0,0,18.85,#DIV/0!,#DIV/0!
179.0208333,0.5,0,0,19.35,#DIV/0!,#DIV/0!
179.0416667,1,0,0,18.85,#DIV/0!,#DIV/0!
